symbol,name
UPMS,Union Pharmacist Company For Medical Services And Investment
UTOP,Utopia Real Estate Investment & Tourism SAE
VALU,U Consumer Finance S.A.E
VERT,Vertika for Industry & Trade
VLMR,Valmore Holding
VLMRA,Valmore Holding
WCDF,Middle & West Delta Flour Mills Co.
WKOL,Wadi Kom Ombo Land Reclamation
ZEOT,Extracted Oils & Derivatives Co.
ZMID,Zahraa Maadi Investment & Development
